title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date
SimEarth: The Living Planet,SNES,Simulation,FCI,Tomcat System,,0.16,,0.16,,0,1993-02-01
Innocent Life: A Futuristic Harvest Moon,PSP,Simulation,Natsume,ArtePiazza,6.5,0.16,0.08,0.03,0.03,0.02,2007-05-15
Wonder Project J2: Koruro no Mori no Josette,N64,Simulation,Enix,Givro Corporation,,0.16,,0.12,,0.04,1996-11-22
Macross Ace Frontier,PSP,Simulation,Namco Bandai,ArtDink,,0.16,,0.16,,,2008-10-09
Burger Island,DS,Simulation,Destineer,TechFront,,0.16,0.15,,,0.01,2008-12-17
Overcooked! 2,PS4,Simulation,Sold Out,Ghost Town Games,,0.16,0.07,,0.06,0.03,2018-08-07
Bleach: Dark Souls,DS,Fighting,Sega,"Treasure Co., Ltd.",,0.16,0.12,,0.02,0.01,2008-10-07
BlazBlue: Chrono Phantasma Extend,PS4,Fighting,Aksys Games,Arc System Works,,0.16,0.08,0.02,0.04,0.02,2015-06-30
Hydro Thunder,N64,Racing,Midway Games,Eurocom Entertainment Software,,0.16,0.13,,0.03,0,2000-02-29
Ride 2,PS4,Racing,Milestone S.r.l,Milestone S.r.l.,,0.16,0.07,0.01,0.06,0.03,2017-02-14
Vehicular Combat League presents Motor Mayhem,PS2,Racing,Atari,Beyond Games,,0.16,0.08,,0.06,0.02,2001-06-20
Star Wars: Super Bombad Racing,PS2,Racing,LucasArts,Lucas Learning,,0.16,0.08,,0.06,0.02,2001-04-23
Hot Wheels Velocity X,GBA,Racing,THQ,Saffire Corporation,5.2,0.16,0.12,,0.04,0,2002-10-31
Arcana Heart,PS2,Fighting,Atlus,Examu Inc.,8.1,0.16,0.06,0.04,0.05,0.02,2008-04-10
Godzilla Unleashed,Wii,Fighting,Atari,"Pipeworks Software, Inc.",4.5,0.16,0.14,,0,0.01,2007-12-05
WildStar,PC,MMO,Carbine Studios,Carbine Studios,,0.16,0.08,,0.07,0.01,2014-06-03
Power Stakes,PS,Sports,Aques,TOSE,,0.16,,0.15,,0.01,1997-04-11
Jikkyou Powerful Pro Yakyuu Basic-han 2001,N64,Sports,Konami,Diamond Head,,0.16,,0.12,,0.04,2001-03-29
NBA Live 08,Wii,Sports,Electronic Arts,EA Canada,,0.16,0.15,,0,0.01,2007-10-02
Amped 3,X360,Sports,2K Sports,2K Sports,7.2,0.16,0.13,,0.02,0.01,2005-11-16
Kawa no Nushi Tsuri,PS,Sports,Victor Interactive,Victor Interactive Software,,0.16,,0.15,,0.01,1998-08-20
True Swing Golf,DS,Sports,Nintendo,Tikipod,,0.16,0.11,0.04,0,0.01,2006-01-23
NHL 2005,XB,Sports,EA Sports,EA Canada,,0.16,0.12,,0.03,0.01,2004-09-20
World Soccer Winning Eleven 2010: Aoki Samurai no Chousen,PSP,Sports,Konami,Konami,,0.16,,0.16,,,2010-05-20
Mat Hoffman's Pro BMX 2,GBA,Sports,Activision,HotGen Studios,,0.16,0.11,,0.04,0,2002-08-13
Ready 2 Rumble Revolution,Wii,Sports,Atari,10tacle Studios AG,3.1,0.16,0.15,,0,0.01,2009-03-17
Blitz: The League,X360,Sports,Midway Games,Midway Games,6.5,0.16,0.15,,0,0.01,2006-11-13
World Tour Soccer 2005,PS2,Sports,Sony Computer Entertainment,SCEE London Studio,,0.16,0.08,,0.06,0.02,2004-04-14
ESPN College Hoops,PS2,Sports,Sega,Visual Concepts,,0.16,0.08,,0.06,0.02,2003-11-13
NCAA Football 09 All-Play,Wii,Sports,EA Sports,Team Fusion,5.3,0.16,0.15,,,0.01,2008-07-15
Let's Ride: Sunshine Stables,GBA,Sports,THQ,Independent Arts Software GmbH,,0.16,0.12,,0.04,0,2005-10-04
World Stadium 4,PS,Sports,Namco,Namco,,0.16,,0.15,,0.01,2000-03-23
NBA 2K12,PC,Sports,2K Sports,Visual Concepts,8.5,0.16,0.09,,0.05,0.02,2011-10-04
Imagine: Ice Champions,DS,Sports,Ubisoft,Spike Co.,,0.16,0.15,,,0.01,2009-02-25
J-League Pro Soccer Club o Tsukurou! 6: Pride of J,PSP,Sports,Sega,Sega,,0.16,,0.16,,,2009-11-12
Ener-G Horse Riders,DS,Sports,Ubisoft,Lexis Numerique,,0.16,0.14,,0.01,0.01,2008-10-21
"BCFX: The Black College Football Xperience, The Doug Williams Edition",X360,Sports,Aspyr,Nerjyzed Entertainment,,0.16,0.15,,,0.01,2009-09-29
FIFA Soccer 97,PS,Sports,EA Sports,EA Canada,,0.16,0.09,,0.06,0.01,1996-11-30
Tiger Woods PGA Tour 2004,GC,Sports,EA Sports,EA Redwood Shores,,0.16,0.12,,0.03,0,2003-09-22
Wakeboarding Unleashed Featuring Shaun Murray,PS2,Sports,Activision,Shaba Games,,0.16,0.08,,0.06,0.02,2003-06-10
Rayman Legends,PSV,Platform,Ubisoft,Ubisoft Montpellier,,0.16,0.01,,0.12,0.03,2013-09-03
Taz Wanted,PS2,Platform,Atari,Blitz Games,5.5,0.16,0.08,,0.06,0.02,2002-09-17
Putty Squad,PS4,Platform,System 3,System 3,,0.16,0.06,,0.07,0.03,2013-11-29
Theatrhythm Dragon Quest,3DS,Music,Square Enix,Square Enix,,0.16,,0.16,,,2015-03-26
Just Dance: Disney Party,X360,Music,Ubisoft,Land Ho!,,0.16,0.13,,0.02,0.02,2012-10-23
Pro Baseball Spirits 2015,PS3,Sports,Konami Digital Entertainment,"Konami Digital Entertainment, Inc.",,0.16,,0.16,,,2015-03-26
Ener-G: Dance Squad,DS,Sports,Ubisoft,Lexis Numerique,,0.16,0.15,,0,0.01,2008-10-21
Battle Soccer: Field no Hasha,SNES,Sports,Banpresto,Banpresto,,0.16,,0.16,,,1992-12-11
FIFA Soccer 96,PS,Sports,EA Sports,Extended Play Productions,,0.16,0.09,,0.06,0.01,1995-11-01
Pro Yakyuu Famista Returns,3DS,Sports,Namco Bandai Games,Bandai Namco Games,,0.16,,0.16,,,2015-10-08
NCAA Final Four 2001,PS,Sports,Sony Computer Entertainment,989 Sports,,0.16,0.09,,0.06,0.01,2000-11-13
J-League Jikkyou Winning Eleven 2000,PS,Sports,Konami,Konami,,0.16,,0.15,,0.01,2000-06-29
